id,saleprice
2658,136694.18053301782
2718,179729.9687714729
2414,206490.90264832415
1989,93678.4708977632
625,173352.0075012062
333,82420.41403120007
1327,106907.59756266868
858,150199.24577411677
95,183786.94934050855
1568,160052.16165194206
2482,148953.0240288102
1364,104332.71184003896
2584,147517.30394332422
818,290271.3027640607
2673,146846.89216396277
2089,110759.74675010087
1297,142078.96606304028
790,123634.54538774042
2616,184598.57492375845
720,169162.06795548505
222,160366.3041552948
557,133721.15991084458
1148,194244.40382599528
2766,177556.66818680425
534,179700.50980465426
1452,120662.93193606543
630,122561.15443300758
2648,117770.62091318078
125,169928.46206470815
1904,83799.43927329061
1670,113414.12432764916
756,89440.21028382849
717,224803.32112213504
1032,156979.4757540481
852,212683.3583043371
1731,170816.0136363992
2639,108639.34449735969
2071,97079.87415241385
1267,144338.96660464496
1851,201947.6135891102
567,160235.22685897825
2439,211080.68948465216
1898,158185.44967704554
647,153425.4101126305
2256,222869.52856902406
979,89268.31198105795
1444,221632.33439656024
2485,112372.05977828319
157,136258.6561054187
88,126605.81841687547
2003,97145.86568124358
186,201784.41076408204
1425,255914.0798796775
2695,122471.47228578612
738,101764.83211848378
395,152703.9381262754
1353,158109.31414563744
1878,142432.04370908305
390,152542.67081719157
1456,238181.64231159625
1103,322112.78134570987
1387,107689.53198260535
2070,148786.32789082066
1199,164884.46262027914
2479,171479.45248730318
501,319963.9548346198
2362,89385.4918226333
1718,221777.1103115764
2188,89249.01703010124
1483,157307.82031962127
2557,89638.76988845255
437,334614.8896440982
2224,194363.3607649724
1628,174542.23741862326
397,144603.6281888046
587,194292.66669811815
2182,640364.2586268947
971,132426.59052202574
2611,129849.27461804645
1887,115175.54366724066
2399,337247.6888739882
2148,204133.6084690712
304,105027.21157093991
1997,130848.4288259205
2817,123636.678669919
1431,218824.99579139633
427,378413.19620508025
263,129301.46676027293
598,165737.46429817227
2895,221917.7091307073
687,142846.51647712127
1822,135627.01462654836
2191,97736.46655487726
179,116517.15119227066
1009,234660.32298690366
2010,117623.46402503978
1991,140374.86432367933
1411,168395.82771607809
1721,240426.51106667207
1144,195692.543726169
593,215335.75440746485
575,313744.0998329307
1249,173800.9733627933
1604,121986.09942243285
1064,424907.4928270582
1923,149489.17545871026
1988,112473.93633083985
2325,174716.64587453628
114,211812.25870276816
2700,178306.0303084614
217,128812.28528079572
343,173898.0781553318
386,239648.24234089424
2005,126926.65816667999
2908,127591.08089759244
1814,220349.84978016253
2446,457525.62963635125
208,143951.81679674023
1679,106747.77787472331
822,301936.1617563958
6,189879.77492129145
1781,367798.8825237341
2397,280406.61835420004
2340,305246.2525942531
1618,175381.8808024258
2843,115345.09789805266
1061,356776.52393407526
2786,125837.85189640471
1935,138148.94090801707
1341,120404.36336961805
521,278168.88384284225
2136,132404.60495646298
996,208124.87691672714
227,141312.36587584458
135,175631.14498450933
1167,160853.42479341547
294,221481.59107061528
1776,213919.24916276394
540,167789.67136061745
1717,221777.1103115764
2303,136554.46553476946
116,184947.5676382327
127,141720.1211080112
1371,120895.76571587758
1014,155440.130406243
1507,117525.9199924918
702,125537.34530228624
750,143755.03990595796
261,146039.77858838066
1559,99908.512173222
577,248538.84813450061
2812,195961.38195862368
2080,147639.5687050989
1368,113650.65289816033
2376,129782.18572102013
659,110211.16414057913
1235,131237.5704996219
332,68079.68222336525
1917,141140.3045219407
2094,256978.15456829124
1460,264659.8602082024
1471,219044.47468955733
1509,110626.68545058835
1922,124702.0317268072
433,443721.4965224954
460,246381.10284857117
1116,245240.31246396306
1137,165108.70933926222
53,174536.18757654983
2354,263389.8601211817
1475,196038.54517797375
1761,570340.981079977
842,137718.76798707916
2739,180844.8838322108
2509,159687.45697182574
1007,206962.7711518525
2610,173680.66757296753
1952,97527.91599401248
2719,170224.60987181074
2921,75786.833335776
1966,145375.31948079274
292,122760.90511701374
1204,186313.88259291364
1829,281847.43545957387
2419,186515.30031462098
391,156542.41082921217
798,106332.45578338261
481,202490.78494705807
193,179673.05538776965
555,119106.84666443183
899,65858.89420449658
2357,176846.5504190913
328,136662.64883411364
1356,107704.2092021927
1154,109575.67191310442
1730,186672.40599573142
2249,158751.24010360206
1119,280536.45608965144
2856,134466.4112542058
1394,131406.5089459065
2587,127546.8116201158
61,325496.5909075829
2661,154802.16991027465
2711,136163.04396590934
1147,178023.9364346474
757,130459.37043193312
2623,105671.80111580067
2378,136117.2404674003
1413,132242.04247167057
1722,219362.3839231454
1112,236270.01144044893
1623,193740.70138207264
1201,191662.79616105327
1513,104468.23351562157
957,272548.03803028166
1171,245535.4817822824
1145,193345.3856974234
2726,241495.05500737194
703,146369.3786050121
760,124262.16824139476
1964,151972.15463580872
2512,179661.35839424678
159,128393.04000332006
1281,166728.43699477008
468,189880.41429688034
290,119199.36062056944
665,107060.22317150359
1463,265682.87380858517
1792,226751.49679686053
923,141935.11136534257
