id,saleprice
2658,133888.88596687006
2718,177719.35733397276
2414,205190.64971806537
1989,94193.5513718163
625,174160.27681940224
333,83439.35770827414
1327,105093.07286980766
858,147726.6516363217
95,181248.64740759347
1568,160504.23933421655
2482,147495.8852172955
1364,100980.18076527244
2584,144193.4687679907
818,294048.73875303206
2673,143832.81608788302
2089,110116.11431973547
1297,142642.84381119403
790,123044.19311054148
2616,184816.03632925646
720,170319.68076474394
222,157842.1312208975
557,132434.2816492446
1148,192237.050459091
2766,175737.52506282588
534,177607.62412159116
1452,120981.19239490255
630,123876.29661940827
2648,116323.25090496894
125,165848.3932247492
1904,88945.16197606214
1670,113487.2314318703
756,86487.09189928551
717,224175.9337659148
1032,156333.9871748344
852,211439.74993308095
1731,170452.36283361723
2639,110229.82821298132
2071,95687.6724476017
1267,144768.64807398626
1851,206372.38548732252
567,158874.028600681
2439,209551.43733505247
1898,157322.14092540374
647,143016.10231601933
2256,223665.68069333574
979,88624.16963315592
1444,222392.31405817304
2485,113786.61644064095
157,135843.6891666001
88,123572.32003018064
2003,98912.04409264548
186,196911.3567738086
1425,255397.3352049662
2695,120744.67626615053
738,108105.75740705925
395,149610.1304102285
1353,161911.98396459274
1878,140892.9759304989
390,151648.62676549648
1456,238155.03264811085
1103,322412.5264110827
1387,98369.01141813898
2070,146475.59289427317
1199,164047.75119511917
2479,171010.51618402608
501,322472.09902104724
2362,90015.52942173817
1718,220648.9642324308
2188,88883.29666790603
1483,156772.8161747098
2557,96241.62220519388
437,337930.05360931443
2224,191794.40088530187
1628,172608.07288666142
397,146385.43969255465
587,192958.60881240157
2182,635468.9625278258
971,135888.725758043
2611,127193.98001462263
1887,115319.03513961687
2399,338755.7807170241
2148,203180.85866398955
304,101358.51882721284
1997,130907.13708720336
2817,125712.42444146982
1431,217100.99901277857
427,373426.8308746577
263,130789.98308613311
598,160275.60244052895
2895,220775.58785243967
687,143631.4321454538
1822,131279.82389173465
2191,100637.80428413094
179,126782.94514090254
1009,233274.61836815375
2010,120495.3730675161
1991,141620.08378373552
1411,168018.47608172544
1721,238015.0853592349
1144,194932.25575261682
593,212863.6705285055
575,314044.46305042395
1249,172375.87046165482
1604,122947.73450458047
1064,422264.24846381857
1923,150391.07099889265
1988,109132.4023927294
2325,175394.60940519
114,212051.6736828731
2700,174834.77078414752
217,127081.37705010605
343,172909.80039918088
386,237449.9762130075
2005,129289.7258749973
2908,127067.17431839973
1814,223886.90229044616
2446,454391.4549257258
208,141568.94348662515
1679,107922.82783465079
822,301115.3272558968
6,189806.8383098082
1781,371634.0070422541
2397,281521.4283339876
2340,302917.7233288601
1618,176416.83975472272
2843,116277.65852305037
1061,361555.43559756
2786,125794.43386715135
1935,139569.14665509856
1341,125694.65041104195
521,276897.91132924403
2136,134355.7392218174
996,207764.68795758366
227,139796.76232035365
135,173455.94319027057
1167,161402.77157401858
294,223848.13132940565
1776,212906.70341340575
540,167372.85058079663
1717,220648.9642324308
2303,139332.50670843627
116,179765.09415187465
127,141953.68703593645
1371,117537.17423878452
1014,154160.5151062094
1507,117290.22810645899
702,128060.51480449329
750,144636.08800955687
261,147515.2330951374
1559,97074.60590868937
577,245140.61676015292
2812,195596.67126079855
2080,148552.06832695153
1368,113810.16191109589
2376,124603.05933796815
659,108995.16923864122
1235,135612.30681360874
332,67720.89029674245
1917,138822.04148686165
2094,257250.79837000667
1460,262314.8055636631
1471,219397.0807457613
1509,111185.02811040678
1922,126094.0463415503
433,440342.7827042879
460,244980.87974602962
1116,243429.4615326444
1137,164902.76374480082
53,177610.8452291388
2354,263347.12000309175
1475,195802.94372818526
1761,556010.0271092354
842,137602.62667498665
2739,179097.46443425928
2509,158233.25324430253
1007,205796.03386409022
2610,176685.2290468834
1952,97513.39786833315
2719,167250.29363839113
2921,66226.88863093896
1966,143088.48206577744
292,121251.64595142117
1204,184414.74110830316
1829,282291.304752541
2419,185727.25665054913
391,155619.57950891939
798,108531.3040502746
481,201919.8878263723
193,178631.01193509452
555,116342.44146690288
899,61507.61382161836
2357,173993.03079284096
328,136764.7723797912
1356,111988.40838390595
1154,108332.81174808354
1730,184701.4618003343
2249,156906.6518710067
1119,279897.9557409733
2856,134234.36196784573
1394,125469.08280784803
2587,124649.78294808466
61,326163.15950681316
2661,149270.28840616692
2711,130942.22785057849
1147,180488.75802006846
757,134887.33328058536
2623,110252.77173043184
2378,139904.26590280197
1413,129196.47103747344
1722,219362.84138713247
1112,238810.60251592012
1623,193029.45065523096
1201,189675.88119053314
1513,104670.0559196113
957,273685.46704304847
1171,245486.74422635164
1145,193371.11234387936
2726,239201.49121150735
703,143603.95018325074
760,115431.55941354917
1964,149367.3713069421
2512,180717.6831517958
159,124906.56721968498
1281,166732.3721978396
468,191324.32567464773
290,119678.55239719753
665,106491.42885525263
1463,267534.6742123547
1792,225946.5090531496
923,141804.98732549942
500,283984.4219407132
1408,149282.0560169973
331,87970.34622128145
170,134877.6534515603
2192,97793.63496179535
2571,280017.37873758364
2314,167883.66733170825
2647,89474.51011525752
422,383956.147344477
2457,363173.66934652836
1838,198192.47887365514
2805,243626.57144618646
1645,163336.17917889735
1711,293604.9945751522
2825,244622.35549287614
322,337422.202247152
2103,259126.31211578991
342,117547.42612687309
600,125341.84984842103
488,190553.8662764402
1725,288019.44806920894
2246,256563.20415538445
2847,144371.19451588189
806,218829.4590768022
530,238534.93714637274
963,204824.69513249584
2678,102396.60375556776
171,95553.1066631781
2401,385291.2625889096
805,213190.53582222434
2259,207767.01122454955
1748,186847.6297924444
1361,128760.72939200795
1677,103634.1262197627
1406,139651.08680155774
2322,218513.3149239205
688,150784.11196991656
143,138235.42629699904
804,201158.7279957211
1214,162586.34132018173
2828,132871.2413160322
